gender;age;bmi_3;bmi_5;bmi_10;bmi_25;bmi_50;bmi_75;bmi_85;bmi_90;bmi_95;bmi_97
F;2.875;13.85295;14.05885;14.39406;15.01007;15.79329;16.70862;17.26804436;17.67935646;18.34500099;18.81842784
F;2.958333333;13.82741;14.03016;14.3606;14.96907;15.74526;16.65641;17.21563951;17.62805146;18.29783876;18.7760905
F;3.041666667;13.8023;14.00209;14.32806;14.9295;15.69924;16.60687;17.16633643;17.5801877;18.25475381;18.73837743
F;3.125;13.77763;13.97466;14.29645;14.89136;15.65523;16.55998;17.12008872;17.53570705;18.21566879;18.70520011
F;3.208333333;13.75341;13.94786;14.26576;14.85465;15.61321;16.5157;17.07685104;17.49455256;18.18050711;18.67646985
F;3.291666667;13.72964;13.92169;14.23599;14.81934;15.57317;16.474;17.03657894;17.45666842;18.14919304;18.65209796
F;3.375;13.70631;13.89615;14.20714;14.78544;15.53508;16.43486;16.99922885;17.42199993;18.12165176;18.63199585
F;3.458333333;13.68343;13.87124;14.1792;14.75293;15.49893;16.39824;16.96475788;17.39049347;18.09780945;18.61607518
F;3.541666667;13.66101;13.84697;14.15218;14.7218;15.4647;16.36411;16.93312378;17.36209639;18.07759336;18.60424802
F;3.625;13.63905;13.82333;14.12606;14.69205;15.43238;16.33244;16.90428477;17.33675699;18.06093184;18.59642696
F;3.708333333;13.61756;13.80033;14.10084;14.66365;15.40193;16.3032;16.87819947;17.31442438;18.04775438;18.59252526
F;3.791666667;13.59654;13.77796;14.07653;14.63661;15.37335;16.27636;16.85482681;17.29504843;18.03799161;18.59245694
F;3.875;13.57599;13.75624;14.05311;14.61091;15.34661;16.25188;16.83412628;17.27857995;18.03157513;18.59613624
F;3.958333333;13.55592;13.73516;14.03059;14.58652;15.32168;16.22973;16.81605638;17.2649696;18.02843822;18.6034803
F;4.041666667;13.53635;13.71472;14.00895;14.56345;15.29855;16.20988;16.80057671;17.25416922;18.02851473;18.61440545
F;4.125;13.51728;13.69493;13.9882;14.54167;15.27719;16.19229;16.78764654;17.24613088;18.03173977;18.62882971
F;4.208333333;13.4987;13.67579;13.96833;14.52117;15.25757;16.17693;16.77722512;17.24080701;18.03804946;18.64667225
F;4.291666667;13.48065;13.65731;13.94933;14.50194;15.23967;16.16378;16.76927159;17.23815034;18.04738091;18.66785338
F;4.375;13.46311;13.63948;13.93121;14.48396;15.22347;16.15278;16.76374505;17.23811389;18.05967216;18.6922946
F;4.458333333;13.4461;13.62231;13.91396;14.46721;15.20894;16.14391;16.76060449;17.24065086;18.0748621;18.71991859
F;4.541666667;13.42963;13.6058;13.89757;14.45169;15.19606;16.13714;16.75980884;17.24571467;18.09289045;18.75064919
F;4.625;13.4137;13.58997;13.88205;14.43738;15.1848;16.13242;16.76131695;17.25325891;18.11369768;18.78441142
F;4.708333333;13.39833;13.5748;13.86739;14.42427;15.17513;16.12972;16.76508763;17.2632373;18.13722499;18.82113141
F;4.791666667;13.38352;13.56031;13.85358;14.41233;15.16703;16.12901;16.77107966;17.27560372;18.16341422;18.86073644
F;4.875;13.36927;13.54649;13.84062;14.40156;15.16047;16.13025;16.77925184;17.29031217;18.19220786;18.90315485
F;4.958333333;13.35561;13.53336;13.82852;14.39194;15.15543;16.1334;16.78956298;17.30731682;18.22354893;18.94831604
F;5.041666667;13.34252;13.52091;13.81726;14.38345;15.15188;16.13843;16.80197195;17.32657196;18.25738105;18.99615046
F;5.125;13.33003;13.50915;13.80684;14.37609;15.1498;16.14531;16.81643792;17.34803218;18.29364826;19.04658918
F;5.208333333;13.31814;13.49808;13.79726;14.36984;15.14917;16.154;16.83291965;17.37165187;18.33229525;19.09956514
F;5.291666667;13.30685;13.4877;13.78852;14.36469;15.14995;16.16446;16.85137625;17.39738575;18.37326713;19.15501183
F;5.375;13.29618;13.47802;13.78061;14.36062;15.15213;16.17665;16.87176785;17.42518932;18.41650918;19.21286229
F;5.458333333;13.28612;13.46903;13.77353;14.35762;15.15567;16.19056;16.89405345;17.45501735;18.46196754;19.27305261
F;5.541666667;13.27668;13.46075;13.76728;14.35567;15.16056;16.20613;16.91819285;17.48682523;18.50958858;19.33551875
F;5.625;13.26788;13.45317;13.76185;14.35478;15.16678;16.22334;16.94414613;17.52056863;18.55931907;19.40019747
F;5.708333333;13.2597;13.4463;13.75724;14.35491;15.17429;16.24214;16.97187362;17.55620345;18.6111062;19.46702632
F;5.791666667;13.25217;13.44013;13.75345;14.35606;15.18309;16.26252;17.00133593;17.5936859;18.6648976;19.53594365
F;5.875;13.24528;13.43467;13.75047;14.35823;15.19313;16.28443;17.03249399;17.63297244;18.72064127;19.60688859
F;5.958333333;13.23904;13.42991;13.7483;14.36138;15.20441;16.30785;17.065309;17.67401984;18.77828567;19.67980103
F;6.041666667;13.23345;13.42587;13.74694;14.36552;15.2169;16.33273;17.09974172;17.7167845;18.83777954;19.75462234
F;6.125;13.22851;13.42254;13.74637;14.37063;15.23058;16.35906;17.13575468;17.7612244;18.89907229;19.83129333
F;6.208333333;13.22423;13.41992;13.74661;14.3767;15.24543;16.38679;17.17330968;17.80729692;18.96211354;19.90975644
F;6.291666667;13.22062;13.41801;13.74764;14.38372;15.26142;16.41589;17.21236911;17.85496;19.02685341;19.9899546
F;6.375;13.21766;13.41681;13.74946;14.39168;15.27854;16.44633;17.25289572;17.90417191;19.09324243;20.07183146
F;6.458333333;13.21538;13.41632;13.75206;14.40056;15.29676;16.47809;17.29485256;17.95489128;19.16123158;20.15533137
F;6.541666667;13.21376;13.41654;13.75544;14.41035;15.31607;16.51113;17.33820304;18.00707707;19.23077228;20.24039941
F;6.625;13.21281;13.41748;13.75961;14.42104;15.33644;16.54542;17.38291092;18.06068861;19.30181639;20.32698132
F;6.708333333;13.21253;13.41912;13.76454;14.43263;15.35785;16.58094;17.42894029;18.11568557;19.37431624;20.41502357
F;6.791666667;13.21293;13.42147;13.77024;14.44509;15.38029;16.61764;17.4762556;18.17202801;19.44822461;20.5044733
F;6.875;13.214;13.42453;13.7767;14.45842;15.40374;16.65551;17.52482162;18.22967635;19.52349477;20.59527834
F;6.958333333;13.21574;13.42829;13.78393;14.47261;15.42817;16.69451;17.57460349;18.28859138;19.60008044;20.68738721
F;7.041666667;13.21816;13.43276;13.7919;14.48765;15.45357;16.73462;17.6255667;18.34873428;19.67793583;20.7807491
F;7.125;13.22125;13.43793;13.80063;14.50352;15.47991;16.7758;17.67767708;18.4100666;19.75701564;20.8753139
